batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
delta;14;43;MUTAG;GCN;fgw_mixup;3;0.701754391;0.040198035;0.023208346;0.000538627;0.966666639;-0.264912248;300;0.586382329;310;1;5;30;9
delta;14;49;MUTAG;GCN;fgw_mixup;3;0.72807016;0.015193439;0.008771936;7.69469E-05;0.933333397;-0.205263237;490;0.587456048;610;2;5;30;19
delta;14;60;MUTAG;GCN;fgw_mixup;3;0.828828832;0.112522486;0.064964888;0.004220437;0.966666639;-0.137837807;460;0.475583836;360;3;5;30;24
delta;14;69;MUTAG;GCN;fgw_mixup;3;0.801801801;0.015604052;0.009009004;8.11621E-05;1;-0.198198199;310;0.50695014;510;4;5;30;10
epsilon;18;69;PROTEINS;GCN;if_mixup;3;0.763826609;0.01866967;0.010778939;0.000116186;0.820224702;-0.056398094;690;0.473466516;720;0;5;5;2
epsilon;18;204;PROTEINS;GCN;if_mixup;3;0.686098655;0.007767063;0.004484316;2.01091E-05;0.80898875;-0.122890095;580;0.599253654;560;1;5;13;2
epsilon;18;197;PROTEINS;GCN;if_mixup;3;0.739910305;0.022421539;0.012945081;0.000167575;0.803370774;-0.063460469;600;0.396818787;650;2;5;8;1
epsilon;18;72;PROTEINS;GCN;if_mixup;3;0.770270288;0.007802026;0.004504502;2.02905E-05;0.803370774;-0.033100486;370;0.447898567;480;3;5;8;0
epsilon;18;199;PROTEINS;GCN;if_mixup;3;0.783783793;0.007802026;0.004504502;2.02905E-05;0.804469287;-0.020685494;800;0.381090432;1000;4;5;5;3
epsilon;27;105;MUTAG;GCN;g_mixup;3;0.710526288;0;0;0;0.933333337;-0.22280705;500;0.510151565;440;0;5;30;23
epsilon;27;107;MUTAG;GCN;g_mixup;3;0.798245629;0.015193405;0.008771916;7.69465E-05;0.933333397;-0.135087768;280;0.485842198;240;1;5;30;29
